"hgnc_symbol","BF_in_ptv","BF_in_misb","BF_in_misa","BF_cc_ptv","BF_cc_misb","BF_cc_misa","BF_dn_ptv","BF_dn_misb","BF_dn_misa"
"ACTN4",0.52185896987172,0.00937049657565134,0.408814725182988,1,1.24536328429705,0.97926335999721,1,1,1
"ACTR3C",1,1,1,1,1,1.03059584130613,1,1,1.29074959319348
"ACVR1",0.568192016900086,0.414795829216705,0.811888047368782,1,0.718905123785261,0.969611088369614,1,1,4.31878780900076
"ACVR1B",0.688063946728745,0.125975208309497,0.774758813506698,0.554083930112803,0.800176836322232,1.02878823993017,1,2592.51473408882,1
"ACVR2B",0.677946704247785,0.650294700512647,0.4654258320627,1,1,1.03964419074633,1,1,1
"ACVRL1",0.865303984878157,1,0.560629245241885,1,1,1.05485407519159,1,1,1
"ACY1",0.974172555622045,1,1,1.08968256992893,1,1,1,1,1
"ADA",1,1,1,1,1,1,1,1,1
"ADA2",0.961234022707387,1,1,1.05027048568594,1,1,1,1,1
"ADAM12",0.192365173778847,1,0.708873841037747,1,1,1.01645525191691,1,1,1
"ADAM17",0.122711350418282,1,0.577740146088178,1.01199274364817,1,1.06733575231353,1,1,1
"ADAM22",0.359957780404453,1,0.460142498429684,1.66255632345453,1,1.25997195545533,1,1,1
"ADAM28",1,1,1,0.972940769589249,1,1,1,1,1
"ADAM9",0.414437916633674,1,0.447790864303273,0.427540751036892,1,1.08189529047839,1,1,1
"ADAMTS10",0.413453285196673,0.788845656567488,0.106533964081646,1,2.01706508181771,0.872662401357406,1,1,1.03082150840582
"ADAMTS13",0.351270134244261,1,0.13827420497916,0.848332102251416,1,1.36400440112981,1,1,1
"ADAMTS15",0.334461815365155,0.0897781230057314,0.391086277646812,0.660059556513125,1.10985571679194,0.999933916151822,1.36606494674257,1,1.62674176770512
"ADAMTS17",0.434455964477262,1,1,0.448461488030506,1,1,1,1,1
"ADAMTS18",0.63252524566342,1,1,2.81857911528744,1,1,1,1,1
"ADAMTS2",0.0684828251968716,1,0.275415830267268,0.643554496096971,1,1.24082483430671,1,1,4.4012580848896
"ADAMTS20",0.0940121322297627,1,1,0.880251485578633,1,1,1,1,1
"ADAMTS3",0.136440558782304,1,1,1.21575978277452,1,1,1,1,1
"ADAMTS6",0.450045399333931,1,0.195926409311083,1.38352314838175,1,0.962066902745415,1,1,1
"ADAMTS9",0.0358087451419261,1,0.587369915939382,2.27466733128398,1,1.03126082168135,1.38768900046789,1,1
"ADAMTSL1",0.145072745723067,1,1,0.641547511581141,1,1,1,1,1
"ADAMTSL3",0.096759710911551,1,1,1.35709961972378,1,1,1,1,1
"ADAMTSL4",0.93123734327264,1,1,1.05043418430987,1,1,1,1,1
"ADAR",0.410071722220222,0.123134414662804,0.614665144567834,0.725780647815867,1.93048309659373,0.979674849905496,2.54854143270219,1,1
"ADARB1",1,0.0010150173040322,0.760552847185388,1,1.74591755603632,0.994845917433655,1,96.1116161138064,1
"ADARB2",0.550440971009944,0.0182719753433333,0.341759134847319,1,1,0.93476671622965,1,1,1
"ADAT3",1,1,0.740983755106637,1,1,0.972478237706477,1,1,1
"ADCK5",0.785858495994809,1,0.543362227681942,0.724691947438516,1,0.934034952899833,1,1,1
"ADCY1",0.305414401233438,0.461014192047913,0.293423029455493,1.47215276471177,1.95803971632603,0.875673638324742,3.34998980203433,1,1
"ADCY3",0.449369338376305,0.0219903410648167,0.379145459786982,1,1.26638601862011,0.824363256808676,1,1,1.53223426812314
"ADCY4",0.645448381786527,1,0.521592191219113,0.68341121598492,1,1.43735425200828,1,1,1
"ADCY5",0.585641505888209,0.447859884407288,0.232438260231247,1,1.44474990137322,1.03751245845786,1,551.96060640445,1.11078759963167
"ADCY6",0.103322676048922,0.199908072811713,0.29252694838564,1,1.0659538801637,1.51255905928585,1,1,1
"ADD3",0.322807627112723,1,1,1.55375521103634,1,1,1,1,1
"ADGRA3",1.00981783043351,0.0136144110649142,0.454536835689666,0.948881097732695,0.69930827674009,1.01944273884191,1,1,1
"ADGRB2",0.160191186123662,0.175577517308479,0.297487886122171,1,1.47218687365683,1.28507851628618,1,1,1
"ADGRF4",1,1,1,1,1,1,1,1,1
"ADGRG1",0.921512142675163,1,1,1.30021070331635,1,1,1,1,1
"ADGRL1",0.431393128130582,0.0365906734445714,0.113509667197458,1.32030082954595,1.68563247099005,1.0076180663171,1,2.69564562121872,1
"ADGRL2",0.198632303871398,0.377642466811722,0.484461258710606,0.434815269123199,0.600974267446762,1.10778957819819,1,1,1
"ADGRL4",1.12340017462367,1,1,0.908419033825328,1,1,1,1,1
"ADGRV1",0.00118643144334558,1,1,0.313893287001224,1,1,1,1,1
"ADH7",1,1,1,1,1,1,1,1,1
"ADHFE1",0.947872362379303,1,1,1,1,1,1,1,1
"ADIPOR1",0.611736802185255,0.50593952007221,0.884800684594685,2.5997635437583,0.976945964713517,1.13491325059664,1,1,1.11581782660023
"ADK",0.812262869448013,1,0.86240271368577,0.857688918681871,1,1.01471819854499,1,1,1
"ADNP",0.787552129523824,1,1,5.67325156304829,1,1,1.80170833488041e+33,1,1
"ADORA2A",0.558840948454061,1,0.782100995019807,1,1,1.00143542975359,1,1,1
"ADPRS",0.961270115484936,1,1,1,1,1,1,1,1
"ADRB2",0.575348061885546,1,0.840667469336738,0.765986608428162,1,0.914015990344625,1,1,1
"ADSL",0.946177529509974,1,0.926438068246587,1,1,1.29773496670962,1,1,1
"ADSS1",0.663578706373819,1,1,0.869545839388208,1,1,1,1,1
"AEBP1",0.446231861668786,1,0.477841609965005,0.698427229300645,1,1.00111703254103,1,1,1
"AFAP1L1",0.726876533127308,1,1,0.801654651770897,1,1,1,1,1
"AFF3",0.318008252072194,0.418548697082003,0.696301415076907,1,0.699377306176587,0.917963163024764,2.95455776518247,1,1
"AFF4",0.423985827414037,0.454497549833816,0.369152214232767,1,1.10829062641376,1.09128586954308,3.12455884378594,1,1
"AFG3L2",0.481836780055796,0.4578196698063,0.774001884753987,0.437589584698699,0.942320103868063,0.936552597480711,1,1,1
"AFP",0.837626797674898,1,1,1.3607933561339,1,1,1,1,1
"AGA",0.967933674147885,1,1,1,1,1,1,1,1
"AGBL5",0.351853733349683,1,0.381428727889919,1.46843449735639,1.31317899974903,1.11151903631966,1,1,1
"AGK",0.703284821002963,1,1,1.19810555605722,1,1,1,1,1
"AGL",0.351637200596974,1,1,1.14247905611978,1,1,1,1,1
"AGMO",1,1,1,1,1,1,1,1,1
"AGO1",0.485778999945642,0.107834673647044,0.684384154359638,1,1.98842324981585,1.01224868368709,1,1556.32190453659,1
"AGO2",1,0.248670963731439,0.835673481021474,1,0.68797093245549,0.98032182627997,1,1,1
"AGO3",0.266726412795333,0.17891705822141,0.690256575550166,1,2.39312227963097,0.925550258964979,1,96.781172262602,1
"AGPAT1",1,0.81222858862462,0.664756656570944,1,1,1,1,1,1
"AGPAT2",1,1,1,1,1,1,1,1,1
"AGPAT4",0.622194519782716,0.670035569190947,1.01650906234757,1.47876156172289,1,0.946446538178865,2.48626268526097,1,1
"AGPS",1,0.496609913238947,0.750591081907763,1,1.13444414168675,1.08535824386077,4.817600519379,1,1
"AGRN",0.146911754520416,1,0.23552296315673,0.370272283833915,1,0.926997025812428,8.23424060370259,1,1
"AGTPBP1",0.391557925444664,0.7540904629098,0.688711544606184,1,1,1.05157338401278,1,1,1
"AGXT",0.940130282327258,1,1,0.958909394238832,1,1,1,1,1
"AHCTF1",0.152830833184018,1,0.582366161162893,1.09050728584303,1,0.925000349532101,1,1,1
"AHCY",1.16079454577192,1,0.735349470840368,1,1,1.09333113450051,1,1,1
"AHCYL2",0.395189369176301,0.405056934221699,0.368512169985099,1.54690084140109,0.957253830505569,1.00752717372559,1,1,1
"AHDC1",1,1,0.0469907337942156,1.53897991538213,1,1.16847229876806,58.8939601005895,1,13.7322528869024
"AHI1",0.778658256556697,1,1,1.25320532771543,1,1,1,1,1
"AHR",0.388529493089814,1,1,1,1,1,3.8552976935616,1,1
"AHRR",0.645838982358412,0.905687026584443,0.586860101225555,1.28599626186638,1,0.98818410505699,1,1,2.44757245611719
"AHSG",1,1,1,1,1,1,1,1,1
"AICDA",1,0.228655521204412,0.806566121503807,1,2.81701422029573,0.990984482994045,1,1,1
"AIMP1",1,1,1,1,1,1,1,1,1
"AIMP2",1.02386286106278,1,1,0.941431574559526,1,1,1,1,1
"AIP",0.503970941723626,1,0.734999505625595,1,1,0.955065470876029,1,1,1
"AIPL1",0.957023822532596,1,0.88896580053702,0.950177271141427,1,0.976865457226975,1,1,1
"AIRE",0.976625060547949,1,1,1,1,1,1,1,1
"AK2",1,1,1,1,1,1,1,1,1
"AK8",1,1,1,1,1,1,1,1,1
"AK9",0.276925085475152,1,1,0.991355235452734,1,1,1,1,1
"AKAP1",0.677413485903875,1,0.716741142861417,1.5228544998288,1,1.00318285497898,1,1,1
"AKAP13",0.00541683044829431,1,1,1,1,1,1,1,1
"AKAP3",0.799204214358,1,1,1.12978539038429,1,1,1,1,1
"AKAP7",1,1,1,1,1,1,1,1,1
"AKAP9",0.0473442105591703,1,1,1.44568270202876,1,1,14.2920483258647,1,1
"AKR1A1",0.997245769315972,1,1,1.00238194047497,1,1,1,1,1
"AKR1B10",1,1,1,1,1,1,1,1,1
"AKR1C2",1,1,0.941904138860203,1,1,1,1,1,1
"AKR1C4",1,1,1,1,1,1,1,1,1
"AKR1D1",1,1,1,0.988116514359871,1,1,1,1,1
"AKR1E2",1,1,1,1,1,1,1,1,1
"AKT1",1,0.062252863222463,0.703437059380411,1,3.72986016493856,1.0187088792786,1,1,1
"AKT1S1",0.873473333799683,0.762796628479396,1,1,1,1,1,1,1
"AKT2",0.52508169973502,1.43474956150455,0.590130684599678,1.56907741645024,1.32895691403128,1.06630500847584,1,1,3.55199678240018
"AKT3",1,0.50282260587878,0.94118115607043,1,1.14298636497819,1.00336056146412,1,1,1.09758782700309
"AKTIP",1,1,0.891411642314123,1.84925684972949,1,0.949285225287702,1,1,1
"ALAD",0.997027043064021,1,0.977393640383308,0.888773144085423,1,0.915003932043666,1,1,1.09758782700309
"ALB",0.31024049645544,1,0.854815683451113,0.256413653039629,1,1,1,1,1
"ALDH18A1",0.456071580151352,0.259683010532063,0.782416956287255,1.26934524249416,2.04628374294265,0.907892720237063,1,1,1
"ALDH1A3",1,1,0.510500986956787,1,0.839016297182351,1.00528638081681,1,1,1
"ALDH1B1",1,1,1,1,1,1,1,1,1
"ALDH3A2",0.785046723636371,1,0.82043465034708,1,1,0.962029204903243,1,1,1
"ALDH4A1",0.732129370376665,1,1,0.92221272612966,1,1,1,1,1
"ALDH5A1",0.790287754395437,1,0.673266933376536,0.881154306960611,1,1.02724579153264,1,1,1
"ALDH6A1",0.821752069056408,1,0.848472934294126,0.758598054584229,1,1.02577029134798,1,1,1
"ALDH7A1",1,1,1,1,1,1,1,1,1
"ALDH9A1",1,1,1,1.04801396621605,1,1,1,1,1
"ALDOB",0.9696045145791,1,1,1,1,1,1,1,1
"ALDOC",0.733766485354051,1,0.638651660519942,0.753520601746032,1,0.965722905188059,1,1,1
"ALG1",1,1,1,1,1,1,1,1,1
"ALG10",1,1,1,1,1,1,1,1,1
"ALG10B",1,1,1,1,1,1,1,1,1
"ALG11",1,1,1,1,1,1,1,1,1
"ALG12",0.970912301746622,1,1,1.2197676954497,1,1,1,1,1
"ALG14",1,1,0.712610723966677,1,1,1.03594447341217,1,1,1
"ALG2",1,1,1,0.995309862467944,1,1,1,1,1
"ALG3",1,1,1,1,1,1,1,1,1
"ALG5",1,1,0.753988526625179,1.81799962316889,1,1.03404990931639,1,1,1
"ALG6",0.705339590712456,1,0.713290649794379,0.613332894280884,1,1.18481636656635,1,1,1
"ALG8",0.534828076941231,1,1,0.765896588891937,1,1,1,1,1
"ALG9",0.570066287978905,1,0.5828498198776,0.506055008641465,1,0.947526398890554,1,1,1
"ALK",0.496077117116124,1,1,1.88030286782952,1,1,1,1,1
"ALKBH1",0.940535097914216,1,1,0.945059345062215,1,1,1,1,1
"ALKBH2",1,1,1,1,1,1,1,1,1
"ALMS1",0.494856780296662,1,1,0.793465811692705,1,1,1,1,1
"ALOX12",0.911024696881317,1,0.814648634710873,0.879590048535037,1,1.06152557090116,1,1,1
"ALOX12B",0.550779008776821,1,0.425323309364423,1,1,0.939928374273961,1,1,1
"ALOXE3",0.945674227026564,0.171171814122612,0.720164125537405,1.08880130894091,0.958889534705486,0.953750815591094,1,5.63511835997013,1
"ALPK1",0.408270705405796,1,1,1.41782333186458,1,1,1,1,1
"ALPK3",0.711015876909614,0.0380482474669552,0.585194393897895,1.7835771272624,1,0.946224815577197,1,2.39259004586138,1
"ALPL",0.339200159887774,1,0.505734650211039,0.790823115591165,1,1.14180676016501,1,1,1
"ALS2",0.168524540077326,1,0.599204563381259,0.899201809736755,1,1.04365129906685,1,1,1
"ALX1",0.93164840071514,1,0.882280750585817,1.72713448761668,1,1,1,1,1
"ALX3",0.957137762513136,1,0.752262619029468,1,1,1.01687939823814,1,1,1
"ALX4",0.594721903790711,1,0.825142136369577,0.707999534354851,1,1.10255956065312,1,1,1
"ALYREF",1,0.982499395875779,0.706993441791876,1,1,0.968282215427156,1,1,1
"AMACR",0.757017787692151,0.0801064242334256,0.680833890267353,1,1,0.976865457226975,1,1,1
"AMBP",1,1,1,1,1,1,1,1,1
"AMBRA1",0.0458003921879754,1,0.219999766418369,1,1,0.943871388261409,1,1,1
"AMD1",1,0.672064457046505,0.74644799271295,1,1,1,1,1,1
"AMH",1,0.0289120074731536,0.421971665354227,1,0.82872788940172,0.967646012615196,1,1,1
"AMHR2",0.871217296926067,1,1,1.12784756124405,1,1,1,1,1
"AMIGO2",0.770523296744578,1,0.634366412390148,0.744175966057825,1,1.02127996923277,1,1,1.00083403684244
"AMN",0.777054990935165,1,0.75266764107911,1,1,1.07434407161033,1,1,1
"AMN1",0.534536362410445,1,1.00551825930324,1,1,1.00647263454717,1,1,1
"AMPD1",1,1,1,1,1,1,1,1,1
"AMPD2",0.725920356253255,0.625264321795142,0.465421228429551,1.03566434208867,1,1.22631075096554,1.6463071331214,1,1
"AMPD3",0.861523859124878,1,0.628117734539647,0.979744936910656,1,1.04206806018522,1,1,1
"AMT",0.965671113502623,1,0.826978989195869,0.85491581411753,1,1,1,1,1
"AMZ1",1,1,1,1,1,1,1,1,1
"ANAPC15",0.78872898895803,1,0.960010649694732,1,1,1,1,1,1
"ANAPC4",0.298875801295599,1,0.633389525700381,1,1,0.938747299464246,1,1,1
"ANAPC7",0.499375712117451,0.72749981651353,0.868503690040945,1.55064473207299,1,1.01450203083202,1,1,1
"ANGPT1",0.748847726926051,2.05685229855982,0.645562381681782,1,0.615320264749264,1.03237564565702,1,1,1
"ANGPTL3",1,1,1,1,1,1,1,1,1
"ANGPTL6",1,1,1,1,1,1,1,1,1
"ANK1",0.147332687308589,0.301651495465158,0.0634321051875799,1.19916092717291,0.49613058095552,1.51527124053746,1,1,1
"ANK2",0.0741033263418155,0.245594297239009,0.0987099682894693,40.7814552352945,1,1.28100899895805,25648.1675179507,1,1.26837092394932
"ANK3",0.0906097523130473,0.192403140337232,0.111866905605551,3.28898254223813,1,1.20135307243194,1,1,1
"ANKH",0.603125055993112,0.160442220985482,0.675249639616829,1.53507711669582,23.6357593565728,0.952489566454062,1,1,1
"ANKLE2",0.671780920115225,1,1,1.07169379310933,1,1,1,1,1
"ANKRA2",0.992149852736845,1,0.711379937304459,1,1,1.00075950005443,1,1,1
"ANKRD1",1,1,1,1,1,1,1,1,1
"ANKRD11",1,0.0129302166371169,0.212885299306595,2.30840194275224,0.725982984371081,1.05347976486176,3199.23750615632,1,1
"ANKRD13A",0.409311797211185,1,0.552500561979493,0.700887707012392,1,0.933533369947575,1.97751597804936,1,1
"ANKRD17",1,0.0315808327557377,0.338106378078156,1,1.20628476569767,1.06464225419368,1.29284340773211,1,1
"ANKRD24",0.763946511297277,1,0.564309479156842,1.1318438677355,1,0.948610192854484,1,1,1
"ANKRD33",1,1,1,1,1,1,1,1,1
"ANKRD36",1,1,1,1,1,1,1,1,1
"ANKRD37",1,1,1,1,1,1,1,1,1
"ANKRD44",0.693222786416129,1,0.868759902457712,1,1,1,1,1,1
"ANKRD50",0.315087936061603,1,0.786821781143015,0.358520059577495,1,0.95032254671358,1,1,1
"ANKRD55",0.719816715168537,1,0.829155474767227,0.977337464313376,1,0.960875145820832,1,1,1
"ANKS1B",0.358092819638665,0.0670323056693945,0.367987468657921,1.68464980509081,1.10785313236972,1.06196844460713,1,1,1
"ANKS6",0.597405782955316,1,1,0.534264474881328,1,1,1,1,1
"ANO1",0.247238384430652,1,0.228695294218015,0.538744345316197,1,0.923549912354951,1,1,1
"ANO10",1,1,1,1.05869156506752,1,1,1,1,1
"ANO2",0.593797199212116,1,1,0.986490082756402,1,1,1,1,1
"ANO3",0.537828955808968,0.579466485709046,0.697570239567286,1.1931641141185,1.52544043703335,1.10819188532892,1,1,1
"ANO5",0.756744068062997,1,1,1.01096350948078,1,1,1,1,1
"ANO6",1,1,0.729439947520768,0.989595228773272,1,1,1,1,1
"ANO9",0.656827807556429,1,0.681314864668711,0.892308380590282,1,0.957188582864896,4.03969757639482,1,1
"ANPEP",0.576510017493321,1,0.68404386565554,1.56252963842238,1,0.951863740087652,1,1,1
"ANTXR1",1,0.472690304460622,0.664503956024346,1,1,0.980092388022685,1,1,1
"ANTXR2",0.0722098488163086,1,1,0.681787351175852,1,1,1,1,1
"ANXA10",1,1,1,1,1,1,1,1,1
"ANXA11",0.857936640327919,1,1,1,1,1,1,1,1
"ANXA13",0.976987836855233,1,1,0.981092974707243,1,1,1,1,1
"AOC2",1,1,1,1,1,1,1,1,1
"AOPEP",0.92848544708087,1,0.776120318151272,0.614155959451856,1,0.970612359411954,1,1,1
"AP1B1",0.394150195078042,0.29229192146828,0.512234700270056,1,1.31097732707122,1.32057892009171,3.76976483171,1,1
"AP1G1",0.265896593018294,0.0463798415625196,0.587082773400267,1,1.32385087553296,1.07931076856203,2.9354132959108,1,1
"AP1S1",0.975026340192158,0.45899096292448,0.857090610763489,1,1,1,1,1,1
"AP1S3",0.974149465474025,1,1,1,1,1,1,1,1
"AP2A2",0.363366844214187,0.400859825166344,0.286803884167359,1,0.823102829127687,0.96531720316135,1,4.72445958449851,1
"AP2S1",0.987154952574873,1.113698119454,0.988578891771317,2.53828065155796,2.47162416297317,1.03149309609478,1,135878.071594917,1
"AP3B1",0.830134380631549,0.5612778014401,0.716092540287776,1.40565208137014,1,1.07479551476807,1,1,1
"AP3B2",0.361992446061069,0.0790233863811824,0.535461078235402,2.51179359371817,1.74562404206724,1.0427060053493,1,1141.72054106573,1
"AP3D1",0.522109249485174,0.288956796746231,0.578363418410326,1,0.588163454033791,0.963412945738865,1,1,34.1424890181892
"AP4B1",0.679376522014041,1,1,0.764866278558016,1,1,1,1,1
"AP4E1",0.395252405318249,1,1,1.396519688412,1,1,2.35730441885564,1,1
"AP4M1",1,1,1,1,1,1,1,1,1
"AP4S1",1,1,1,1,1,1,1,1,1
"APAF1",0.211162158920405,1,0.563930045624203,0.638710477866165,1,1.08411805184242,1,1,1
"APC",0.185221722518371,1,1,1,1,1,1.118945665209,1,1
"APC2",0.15710155789133,1,0.0998452151090425,1,1,0.848336696432985,1,1,1
"APEX1",1,1,1,1,1,1,1,1,1
"API5",1,1,0.878323944755311,1,0.719970317536297,0.95489352739479,1,1,1.06305186229655
"APLNR",0.60433687371685,1,1,2.56458316097069,1,1,1,1,1
"APOA1",1,1.23217457153628,0.621707967125634,1,1,1.08093463440217,1,1,1
"APOB",0.0932441823192534,1,1,0.291261267327254,1,1,1,1,1
"APOBEC1",1,1,0.913487653915837,1,1,0.967408008134315,1,1,1
"APOBEC3A",1,1,1,1,1,0.981578757982598,1,1,1
"APOBEC3C",0.996726819123479,1,1,1,1,1,1,1,1
"APOBEC3D",1,1.03016490400968,0.921894121037105,1,1.14219689923865,1.03237564565702,1,1,1
"APOBEC3F",1,1,0.946696213818615,1.06151498431334,1,0.928278911973934,1,1,1.09461380916936
"APOBEC3H",1.01303736895921,1,0.916025824167272,1,1,1.03027425734835,1,1,1
"APOC2",1.00926433386761,1,1,1,1,1,1,1,1
"APOE",1,0.196908870140613,0.881101143806077,1,1,0.98085736825745,1,1,1
"APOL1",1,1,1,1,1,1,1,1,1
"APOL2",1,1,1,1,1,1,1,1,1
"APOL4",1,1,1,1,1,1,1,1,1
"APP",0.638216505641725,1,0.610493378980195,2.4167769283433,1,1.2977310769779,2.53790383725822,1,1
"APPBP2",1,1.39838046652493,0.641877331446029,1,0.973480624465015,0.978264820066769,1,1,1
"APPL1",0.101444807365903,1,1,0.477904019334019,1,1,1,1,1
"APPL2",0.890250503214992,1,1,1.03814632174072,1,1,1,1,1
"APRT",1,1,1,1,1,1,1,1,1
"APTX",1,1,1,1,1,1,1,1,1
"AQP2",1,1,0.625938973141147,1,1,0.897709212348633,1,1,1
"AQP5",1.02535568286754,1,0.558538576172165,1,1,1.07556671544658,1,1,1
"AQP7",1,1,1,1,1,1,1,1,1
"AQP8",0.998904416326004,1,0.928242870515215,1,1,1,1,1,1
